cluster,Name,twitter,Republican,Democrat,Congress,Seniority,50_c0,50_c1,50_c2,50_c3,50_c4,50_c5,50_c6,50_c7,50_c8,50_c9,50_c10,50_c11,50_c12,50_c13,50_c14,50_c15,50_c16,50_c17,50_c18,50_c19,50_c20,50_c21,50_c22,50_c23,50_c24,50_c25,50_c26,50_c27,50_c28,50_c29,50_c30,50_c31,50_c32,50_c33,50_c34,50_c35,50_c36,50_c37,50_c38,50_c39,50_c40,50_c41,50_c42,50_c43,50_c44,50_c45,50_c46,50_c47,50_c48,50_c49
0,Abby Finkenauer,RepFinkenauer,0,1,1,0,2.19E-05,5.53E-05,1.76E-05,2.15E-05,1.23E-05,2.72E-05,4.44E-05,5.42E-05,0.011012484,8.78E-05,0.016262024,0.000859,0.00042,0.040024231,0.000103,0.000846,2.57E-05,7.00E-06,2.31E-05,0.249279514,2.49E-05,0.027372913,0.030426888,0.007393206,0.036092528,0.038030589,0.003222967,0.0009,2.32E-05,1.92E-05,0.041083681,0.12005113,0.000142,0.000143,0.070070442,0.003228601,2.84E-05,0.012466726,1.31E-05,1.02E-05,0.001808661,3.44E-05,0.079702263,0.168226332,0.026616082,1.69E-05,2.56E-05,0.000124,0.000147,0.013351275
0,Abigail Spanberger,RepSpanberger,0,1,1,0,8.84E-06,2.23E-05,7.11E-06,8.65E-06,4.96E-06,1.10E-05,1.79E-05,2.18E-05,7.30E-05,0.000347,6.03E-06,3.44E-05,0.000794,0.064824567,0.008466924,0.001901552,1.04E-05,2.82E-06,9.31E-06,0.167326277,0.035272528,0.072203993,0.013520808,0.000486,0.008940764,0.082743875,5.17E-05,0.024079242,9.34E-06,7.73E-06,0.08834413,0.075883244,0.002553905,0.00037,0.027950611,5.40E-05,1.14E-05,0.017198644,5.30E-06,4.12E-06,0.05284308,1.39E-05,5.73E-06,0.160846569,0.019473107,6.83E-06,1.03E-05,4.98E-05,0.000371,0.072789559
0,Adam Kinzinger,RepKinzinger,1,0,1,0,9.87E-06,2.49E-05,7.93E-06,9.65E-06,5.54E-06,1.23E-05,2.00E-05,0.000721,0.052300081,3.95E-05,6.72E-06,0.017792655,0.029779567,0.0576956,4.62E-05,3.26E-05,0.001404054,3.15E-06,1.04E-05,0.030009593,1.12E-05,0.084726612,0.104551361,0.119600078,0.039216525,0.040784831,5.77E-05,0.008411683,0.035170943,8.63E-06,0.011523705,0.058544317,6.41E-05,0.008071215,0.001242403,0.003193374,1.28E-05,0.011527687,0.001746536,4.60E-06,0.092370432,1.55E-05,6.39E-06,0.174214898,0.00292506,7.62E-06,1.15E-05,5.56E-05,0.011902385,8.95E-05
0,Adam Schiff,RepAdamSchiff,0,1,1,0,7.08E-06,0.013266094,5.69E-06,0.000507,3.97E-06,8.80E-06,0.000264,1.75E-05,5.85E-05,0.014276446,4.83E-06,2.75E-05,0.032381378,0.163661134,3.31E-05,2.34E-05,8.30E-06,2.26E-06,7.46E-06,0.00555019,8.06E-06,0.026591556,0.013080227,0.029635003,0.08665106,0.071779324,0.008290334,4.07E-05,7.48E-06,6.19E-06,0.017773176,0.00854157,4.60E-05,0.017543853,0.051385276,0.014291344,9.16E-06,2.84E-05,4.25E-06,3.30E-06,0.087572618,1.11E-05,4.59E-06,0.090847552,0.018848043,5.47E-06,8.29E-06,0.217510542,4.75E-05,0.009313007
0,Adrian Smith,RepAdrianSmith,1,0,1,0,1.01E-05,2.54E-05,8.09E-06,9.84E-06,0.157944836,1.25E-05,2.04E-05,2.48E-05,0.037349629,4.03E-05,6.86E-06,3.91E-05,0.026456766,0.031847967,4.71E-05,3.32E-05,1.18E-05,3.21E-06,1.06E-05,0.162625463,1.14E-05,0.075378019,0.096654516,0.030010581,0.002005664,0.031643227,5.89E-05,0.023482504,1.06E-05,8.79E-06,0.058952952,0.107956192,6.53E-05,0.005744333,0.001621575,0.000416,1.30E-05,0.101902275,6.03E-06,4.69E-06,0.008283029,1.58E-05,6.52E-06,0.03529294,0.001207561,7.77E-06,1.18E-05,5.67E-05,0.002196979,0.000446
0,Adriano Espaillat,RepEspaillat,0,1,1,0,9.91E-06,2.50E-05,7.97E-06,0.285020567,5.56E-06,1.23E-05,0.000719,2.45E-05,8.19E-05,0.001088809,6.76E-06,3.85E-05,0.00054,0.056559068,0.047606467,3.27E-05,1.16E-05,3.17E-06,1.04E-05,0.059871082,1.13E-05,0.022514315,0.048374203,0.003691508,0.004424151,0.036773767,0.007751531,5.70E-05,1.05E-05,8.67E-06,0.029760836,0.026637464,0.029439732,0.047275046,0.000199,6.05E-05,0.052818511,3.98E-05,5.94E-06,0.000354,0.005014011,0.009807353,6.42E-06,0.128845641,0.026368699,7.66E-06,1.16E-05,0.030830005,0.000416,0.036809087
0,Al Green,RepAlGreen,0,1,1,0,9.09E-06,2.29E-05,7.31E-06,8.89E-06,5.10E-06,0.012841921,1.84E-05,0.003230116,7.51E-05,3.64E-05,6.20E-06,3.53E-05,0.014929399,0.164787914,0.039175952,0.000672,1.07E-05,2.90E-06,9.57E-06,0.010009096,1.03E-05,0.011669645,0.047578529,0.088709691,0.040946078,0.06003325,0.000695,0.000373,9.60E-06,7.95E-06,0.040128531,0.026036841,0.003587473,0.065495514,0.031938276,0.00326318,1.18E-05,3.65E-05,5.45E-06,4.24E-06,0.025128071,1.43E-05,5.89E-06,0.099899044,0.028035679,0.149483851,1.06E-05,0.019297149,0.001344033,0.010346958
0,Alan Lowenthal,RepLowenthal,0,1,1,0,8.45E-06,0.008668911,6.79E-06,8.27E-06,4.74E-06,1.05E-05,0.002402667,2.09E-05,0.000368,0.003313959,5.76E-06,3.28E-05,0.005529381,0.122775609,0.000338,2.79E-05,9.90E-06,2.70E-06,8.90E-06,0.010497491,9.61E-06,0.043053187,0.016200185,0.000166,0.020173022,0.10829036,0.141989005,4.86E-05,8.93E-06,7.39E-06,0.068614747,0.004822037,0.020033782,0.03911833,0.106624298,0.00571727,1.09E-05,0.000332,5.07E-06,3.94E-06,0.035585609,1.33E-05,5.48E-06,0.147736202,0.019800674,6.53E-06,9.89E-06,0.0352343,5.67E-05,0.032281427
0,Albio Sires,RepSires,0,1,1,0,9.09E-06,2.30E-05,7.31E-06,0.008351482,5.10E-06,1.13E-05,1.84E-05,2.25E-05,7.51E-05,0.003245103,6.20E-06,3.53E-05,0.000495,0.064408902,4.25E-05,0.003559589,1.07E-05,2.90E-06,9.57E-06,0.014504468,1.03E-05,0.120768731,0.040213817,0.001141014,0.000851,0.141232281,0.001336679,0.000694,9.61E-06,7.95E-06,0.107523824,0.05813206,0.015460764,0.018348838,0.08039969,5.55E-05,0.009637819,0.001319971,0.000326,4.24E-06,0.027382214,0.105259202,5.89E-06,0.123675379,0.017776878,7.02E-06,0.006107142,5.12E-05,6.10E-05,0.027356317
0,Alcee L. Hastings,RepHastingsFL,0,1,1,0,7.50E-06,1.89E-05,6.03E-06,7.34E-06,4.21E-06,9.32E-06,1.52E-05,0.000813,6.20E-05,0.001088934,5.11E-06,2.91E-05,0.016556542,0.098935528,0.02174235,0.020408414,8.79E-06,2.40E-06,7.90E-06,0.00852506,8.53E-06,0.06575194,0.019941012,0.018413045,0.008378743,0.115195618,4.39E-05,0.009837856,7.93E-06,6.56E-06,0.047941862,0.013546089,0.068876594,0.00481395,0.117687396,0.000575,9.70E-06,3.01E-05,4.50E-06,3.50E-06,0.036885847,0.003982623,4.86E-06,0.165038428,0.058610193,5.80E-06,8.78E-06,0.01989645,0.001109208,0.055130337
