twitter,10_c0,10_c1,10_c2,10_c3,10_c4,10_c5,10_c6,10_c7,10_c8,10_c9
AustinScottGA08,2.38E-05,0.286257691,0.008874847,8.42E-04,1.60E-05,0.025742995,0.224455768,0.376121548,9.95E-05,0.077565679
BennieGThompson,3.18E-05,0.001017804,0.08659949,0.074006708,2.13E-05,0.067829968,0.191371729,0.186114923,0.305118832,0.08788744
BettyMcCollum04,1.94E-05,6.22E-04,0.275758689,0.050926772,1.30E-05,0.009116484,0.107928248,0.41721425,0.13830797,9.28E-05
BillPascrell,0.084191919,0.009109826,0.248175068,0.246043965,1.60E-05,3.89E-04,0.081125747,0.246914612,0.081833098,0.002200524
BobbyScott,2.53E-05,7.12E-05,0.222656456,0.031196941,1.70E-05,0.012607791,0.321208058,0.169214667,0.242881848,1.21E-04
boblatta,0.016959308,0.211124028,0.024282617,0.002418443,6.66E-04,0.018930107,0.298434369,0.403208005,4.19E-04,0.023557745
BradSherman,0.004578671,0.035103575,0.049244111,0.347006452,0.004570801,4.18E-05,0.184028086,0.297081143,0.057209191,0.021136215
brianschatz,0.018523121,0.00109562,0.234635682,0.472929281,2.30E-05,5.59E-04,0.063088503,0.172360953,0.001142493,0.035642122
Call_Me_Dutch,3.75E-04,6.75E-05,0.216868694,0.115148074,1.61E-05,4.18E-05,0.167328002,0.250308148,0.200998097,0.048848974
cathymcmorris,2.89E-05,0.088371382,0.061909669,0.030172845,1.94E-05,5.03E-05,0.077835731,0.447756552,9.66E-04,0.292889299
chelliepingree,2.10E-05,5.91E-05,0.377180776,0.023463449,1.41E-05,0.015387206,0.156039821,0.306069328,0.119208707,0.002556474
ChrisCoons,2.10E-05,5.92E-05,0.111717987,0.195263199,1.41E-05,0.061802995,0.136824063,0.452931387,0.036348851,0.005017194
ChrisMurphyCT,2.70E-05,7.60E-05,0.145489003,0.335712061,0.012650401,4.70E-05,0.094052098,0.219851902,0.186044031,0.006050432
ChrisVanHollen,2.82E-04,5.09E-05,0.433826354,0.207708396,1.21E-05,0.005577938,0.097261841,0.236101862,0.016715015,0.002463406
ChuckGrassley,0.273304119,0.008946295,0.063439306,0.135502322,1.70E-05,0.065128064,0.221600858,0.18117327,4.76E-04,0.050413078
ConawayTX11,4.94E-04,0.363902231,0.00395361,0.022848162,2.13E-05,0.050443455,0.145272227,0.28750415,0.002443768,0.123117232
congbillposey,4.37E-05,0.069762776,9.92E-04,0.033494229,0.208948635,7.61E-05,0.277442599,0.40629263,1.83E-04,0.002764469
CongMikeSimpson,0.142690241,0.147899991,0.011409619,0.003190574,4.49E-04,0.007356133,0.248475892,0.413771588,0.002271554,0.022484955
CongPalazzo,2.49E-05,0.001887379,0.004562536,0.012149288,1.67E-05,0.020761566,0.265794247,0.266403364,4.68E-04,0.427932476
CongressmanGT,0.124509683,0.093986722,5.72E-04,0.017834831,1.69E-05,0.009619622,0.350712031,0.320392253,0.008208004,0.074148164
CongressmanHice,2.01E-05,0.067759535,0.001045697,0.072243391,1.35E-05,3.51E-05,0.327402938,0.252540005,0.011858701,0.267080977
CongressmanJVD,0.203989088,1.32E-04,0.040071533,2.91E-04,3.15E-05,7.66E-04,0.182215274,0.484484934,0.022095812,0.065923267
CongressmanRaja,0.02176879,5.52E-04,0.105241263,0.187043514,2.13E-05,5.51E-05,0.096315225,0.320011583,0.247103352,0.021888348
CongressmanRuiz,2.06E-05,0.006672048,0.186565098,0.0049381,1.38E-05,3.58E-05,0.150397719,0.594952082,0.053600645,0.002804085
daveloebsack,0.179747831,0.082901545,0.079829771,0.014645034,1.85E-05,4.79E-05,0.312903357,0.329659483,1.15E-04,1.31E-04
davidcicilline,3.61E-05,1.02E-04,0.011899781,0.461917505,2.43E-05,6.29E-05,0.137849761,0.12712571,0.230206222,0.030776174
DesJarlaisTN04,2.56E-05,0.013150205,0.007306052,0.164571197,0.016832077,0.016859432,0.095378813,0.229776869,0.004590974,0.45150881
DonaldNorcross,0.133476869,0.032193568,0.241110791,0.03419439,1.76E-05,4.56E-05,0.172550068,0.250431669,0.133560199,0.002419297
DorisMatsui,2.48E-05,0.006237778,0.384788201,1.54E-04,1.67E-05,4.06E-04,0.118007701,0.354085014,0.135798068,4.81E-04
DrNealDunnFL2,2.56E-05,0.174525649,0.002827361,0.001656597,0.112700735,4.46E-05,0.26813909,0.329039033,0.004973931,0.106067371
DrPhilRoe,2.52E-05,0.120282627,2.03E-04,0.017434429,1.69E-05,0.037173463,0.411827599,0.341125318,1.05E-04,0.07180615
EleanorNorton,2.37E-05,7.60E-04,0.409664132,0.039673108,1.59E-05,3.88E-04,0.215398734,0.231235303,0.10272747,1.13E-04
FrankPallone,0.018490521,6.47E-05,0.274848234,0.106582942,0.001694303,4.00E-05,0.076641172,0.375034974,0.146493405,1.10E-04
GerryConnolly,2.52E-05,7.09E-05,0.180367259,0.338746518,3.85E-04,4.39E-05,0.198678429,0.176084572,0.104372033,0.001225755
gillibrandny,0.064611713,5.87E-05,0.352980675,0.055884837,1.40E-05,3.63E-05,0.070151949,0.41311597,0.042741589,4.04E-04
GKButterfield,2.55E-05,0.029864671,0.245997673,0.028089213,1.71E-05,7.89E-04,0.230617108,0.201075822,0.238077927,0.025445775
GOPLeader,2.80E-05,0.014012204,0.011291068,0.072709306,1.88E-05,4.88E-05,0.098046383,0.263064063,1.17E-04,0.540663905
gracenapolitano,2.35E-05,0.007282169,0.235912628,0.003582264,1.58E-05,0.001759048,0.078431978,0.39341942,0.278773601,8.00E-04
GReschenthaler,2.55E-05,0.251264562,0.022939955,0.026992082,1.71E-05,0.027996137,0.239360867,0.321604446,0.003833618,0.105965698
HerreraBeutler,0.010421037,0.073165516,0.079087423,0.001965344,1.41E-05,6.48E-04,0.20410284,0.624902018,8.76E-05,0.005605944
HurdOnTheHill,0.001644955,0.030894657,0.019003142,0.131255799,0.021759709,3.87E-05,0.216880771,0.506597894,0.005610271,0.066314124
Ilhan,0.005452938,9.91E-04,0.294394113,0.254575106,2.08E-05,5.38E-05,0.068793025,0.150428652,0.186737187,0.038553687
JacksonLeeTX18,2.83E-05,7.97E-05,0.011403222,0.347001828,0.00415776,0.002532564,0.070463011,0.185385633,0.35232476,0.026623208
jahimes,0.060572256,1.00E-04,0.073349647,0.439111788,2.40E-05,6.22E-05,0.143123305,0.155478919,0.071123318,0.057054096
janschakowsky,0.006043817,7.72E-05,0.323100076,0.039878542,1.84E-05,4.78E-05,0.071896651,0.254664251,0.294114778,0.010158416
JeffFortenberry,0.003513567,0.061009675,0.015412505,0.103620504,1.46E-05,0.167011467,0.237208137,0.38884172,9.09E-05,0.023276931
JerryMoran,2.28E-05,7.32E-04,0.030546011,0.022829689,1.53E-05,0.230254789,0.187259098,0.515457577,9.55E-05,0.012787591
JimInhofe,2.24E-05,0.065982123,0.008380053,0.052284273,1.51E-05,0.105968581,0.15290991,0.462393198,9.39E-05,0.151950432
JimLangevin,0.08144425,6.48E-05,0.179177987,0.031433,1.55E-05,4.01E-05,0.190852896,0.401698814,0.115162706,1.10E-04
JimPressOffice,5.30E-04,0.088424343,0.0404687,0.034450759,2.28E-05,0.014946014,0.155445069,0.361715528,0.019991265,0.284005324
Jim_Jordan,4.47E-04,0.007611316,0.00818026,0.246182582,1.92E-05,4.99E-05,0.056586352,0.072767355,0.02313045,0.585025585
JoaquinCastrotx,2.95E-05,8.30E-05,0.011448976,0.234315964,0.01554243,5.14E-05,0.079877866,0.172873724,0.369647776,0.116129347
JohnBoozman,1.86E-05,8.66E-04,0.006658834,0.003098585,1.25E-05,0.168995315,0.385998422,0.417099492,0.001433705,0.015818771
JohnCornyn,3.24E-05,0.015248476,0.011155961,0.190614576,0.025126005,0.030844657,0.108115197,0.206010235,0.035186826,0.377665652
JudgeCarter,2.56E-05,0.146767778,0.001703632,1.59E-04,1.72E-05,0.00116727,0.356729781,0.317314961,8.56E-04,0.175259077
justinamash,2.80E-05,0.003762508,0.034197983,0.542905297,1.88E-05,4.88E-05,0.062726224,0.224676182,0.022219385,0.109416817
KenCalvert,2.38E-05,0.00772937,0.077860338,0.041942458,0.003847164,4.15E-05,0.102135968,0.461803197,4.48E-04,0.304168143
KYComer,0.147552481,0.140566329,7.82E-04,0.048547577,2.31E-05,0.031778896,0.553949114,0.037724529,1.44E-04,0.038932143
LacyClayMO1,4.18E-05,1.18E-04,0.063938707,0.46258932,0.00430894,7.29E-05,0.048466659,0.086184296,0.313287062,0.02099253
LeaderHoyer,0.001679054,5.33E-05,0.095056344,0.021975857,1.27E-05,3.30E-05,0.112127943,0.318446417,0.411235462,0.039379952
LindseyGrahamSC,3.00E-05,8.44E-05,2.42E-04,0.360523341,2.02E-05,5.22E-05,0.084715394,0.152081666,1.26E-04,0.402125098
lisamurkowski,1.80E-05,5.07E-05,0.025953991,1.12E-04,1.21E-05,0.142504865,0.147807039,0.683379806,7.54E-05,8.61E-05
MacTXPress,3.09E-05,0.32242053,2.49E-04,0.057445323,2.07E-05,0.003660258,0.109662252,0.400743491,1.29E-04,0.105638428
marcorubio,2.25E-05,0.00695705,0.014297312,0.284756644,0.318773105,3.67E-04,0.098238062,0.226488363,9.40E-05,0.050005595
MarioDB,2.22E-05,0.001037487,0.005704034,0.034585067,0.75297268,3.87E-05,0.055327147,0.131914941,9.31E-05,0.018304621
MarkAmodeiNV2,3.09E-05,0.061904467,2.49E-04,0.005606493,0.12094857,5.38E-05,0.524886594,0.256262482,1.29E-04,0.029928257
MarkWarner,2.63E-05,7.39E-05,0.346059097,0.271159857,1.76E-05,0.004651922,0.126766791,0.224907434,0.012009205,0.014327871
MarshaBlackburn,2.56E-05,0.024798667,9.56E-04,0.021139346,1.72E-05,0.145032024,0.220385523,0.429690271,1.07E-04,0.15784777
MartinHeinrich,2.42E-05,6.82E-05,0.406970904,0.08341906,1.63E-05,4.22E-05,0.040129213,0.437931149,0.031282836,1.16E-04
maziehirono,2.17E-05,6.10E-05,0.307701819,0.324781488,1.46E-05,0.008914842,0.061268375,0.258680146,0.027990112,0.0105659
michaelcburgess,1.98E-05,0.055141095,0.071771016,0.014039524,1.33E-05,3.46E-05,0.162429815,0.428194732,0.005301625,0.263054472
