twitter,15_c0,15_c1,15_c2,15_c3,15_c4,15_c5,15_c6,15_c7,15_c8,15_c9,15_c10,15_c11,15_c12,15_c13,15_c14
AustinScottGA08,3.12E-05,0.410640784,8.73E-05,0.027209117,2.63E-05,0.099185612,0.035748718,0.116040255,3.80E-04,0.26102833,1.68E-05,0.036272206,1.06E-04,0.013215476,1.11E-05
BennieGThompson,4.16E-05,0.246805837,0.257959861,1.85E-04,3.52E-05,0.162213223,0.108982584,0.10543399,0.013493002,9.80E-04,0.003268708,0.003947832,0.096601579,3.64E-05,1.49E-05
BettyMcCollum04,2.55E-05,0.158622473,0.095381079,0.021104,2.15E-05,0.311114793,0.06212279,1.00E-04,0.015912075,3.23E-05,1.38E-05,0.19246684,0.143051564,2.22E-05,9.11E-06
BillPascrell,0.00732959,0.153335442,0.015726853,0.038020745,0.056675706,0.220963214,0.28568115,0.006725824,0.003508656,3.96E-05,1.68E-05,0.001220883,0.210717103,2.72E-05,1.12E-05
BobbyScott,3.32E-05,0.287702764,0.140399765,5.17E-04,2.80E-05,0.267243348,0.040247593,0.011945484,0.001881452,0.00521125,0.127770976,0.005358579,0.111620293,2.90E-05,1.19E-05
boblatta,2.92E-05,0.445326814,0.001058361,0.045046624,0.008161774,0.12654433,0.078443076,0.074650536,3.11E-05,3.71E-05,1.58E-05,0.108878528,9.99E-05,0.11166646,1.04E-05
BradSherman,0.026288726,0.23183425,0.009540728,0.195493916,0.092802302,0.114057614,0.138640084,1.23E-04,3.35E-05,0.035749785,0.001067264,0.023285982,0.131043754,2.75E-05,1.12E-05
brianschatz,0.051957876,0.059001023,1.26E-04,0.06209549,3.78E-05,0.117197928,0.438268256,6.75E-04,0.034989214,5.68E-05,0.003518346,0.062152359,0.16986889,3.91E-05,1.60E-05
Call_Me_Dutch,3.15E-05,0.208173403,0.171055307,0.06039869,3.77E-04,0.293863237,0.113512567,0.025348173,3.35E-05,3.90E-04,1.70E-05,0.026805723,0.099955092,2.75E-05,1.12E-05
cathymcmorris,0.002992295,0.195918605,0.002216496,0.048704917,3.20E-05,0.247658014,0.118177811,0.312892843,4.04E-05,4.81E-05,2.05E-05,0.071122009,1.29E-04,3.31E-05,1.35E-05
chelliepingree,2.75E-05,0.212373557,0.086904347,0.001042839,2.33E-05,0.286802132,0.07271529,0.001642213,0.126741735,3.49E-05,1.49E-05,0.111529276,0.100114077,2.41E-05,9.85E-06
ChrisCoons,2.76E-05,0.219939428,0.020345375,0.174858059,2.33E-05,0.23086846,0.101034775,0.001950819,0.073117342,0.001570435,1.49E-05,0.091056839,0.085158785,2.41E-05,9.86E-06
ChrisMurphyCT,0.016995602,0.077385649,0.166151306,0.175281141,2.99E-05,0.15808014,0.298579944,0.006844242,0.031591552,8.34E-04,1.91E-05,0.019529025,0.04863502,3.09E-05,1.27E-05
ChrisVanHollen,2.37E-05,0.117782074,0.001914199,0.062401573,5.48E-04,0.45713532,0.173427644,9.31E-05,0.04727537,5.58E-04,0.003972304,0.001983161,0.132856475,2.07E-05,8.47E-06
ChuckGrassley,0.010379218,0.21771011,9.30E-05,0.0467046,2.80E-05,0.10929424,0.109374099,0.057402985,0.399835857,4.21E-05,0.002604422,0.015339077,0.022652942,0.007419,0.001120366
ConawayTX11,4.15E-05,0.284111012,1.16E-04,0.060220749,3.50E-05,0.161539005,0.096060493,0.118850343,0.002815079,0.007441702,2.24E-05,0.005316881,6.03E-04,0.262811324,1.48E-05
congbillposey,5.73E-05,0.384215277,1.61E-04,0.054486233,0.368185761,0.073237281,0.024247656,0.00405305,6.10E-05,7.27E-05,3.09E-05,0.090288027,8.34E-04,5.00E-05,2.05E-05
CongMikeSimpson,3.85E-05,0.445274362,5.37E-04,0.040525895,0.006901421,0.107664569,0.043361698,0.037500831,0.006909924,0.010352197,2.08E-05,0.117420288,0.00184892,0.181629412,1.38E-05
CongPalazzo,0.004027746,0.385058135,9.14E-05,0.014309471,2.75E-05,0.11251329,0.05629672,0.395283087,3.47E-05,0.021833001,1.76E-05,0.008176552,0.001927391,2.85E-05,3.75E-04
CongressmanGT,3.30E-05,0.485472924,0.018492892,0.008978962,0.004443971,0.074995291,0.055202523,0.086611065,3.52E-05,0.052666717,1.78E-05,0.068269796,1.13E-04,0.144655072,1.18E-05
CongressmanHice,0.113577547,0.428081789,7.40E-05,0.008648413,2.23E-05,0.135551936,0.098843776,0.173372147,3.22E-04,0.037687764,1.43E-05,1.51E-04,0.003620334,2.31E-05,9.44E-06
CongressmanJVD,0.029445999,0.22974665,0.017256063,2.73E-04,0.278180833,0.215114978,0.059455753,0.035775829,6.53E-05,7.78E-05,3.31E-05,0.131556329,0.002943098,5.36E-05,2.19E-05
CongressmanRaja,0.07997312,0.165499913,0.164599863,0.046849629,9.59E-04,0.267881129,0.173264313,0.014023865,4.42E-05,5.26E-05,2.24E-05,0.004857305,0.078687277,0.003270455,1.48E-05
CongressmanRuiz,2.70E-05,0.219087463,0.021407503,4.20E-04,0.062516215,0.358973231,0.085328942,0.002209067,2.87E-05,0.016859372,1.46E-05,0.178620929,0.054473478,2.36E-05,9.64E-06
daveloebsack,3.61E-05,0.425090818,0.001707938,0.03470745,3.05E-05,0.187112496,0.055437996,1.42E-04,0.194064996,0.027362121,1.95E-05,0.039573753,0.023422495,0.011279415,1.29E-05
davidcicilline,0.205070159,0.127651579,0.129260126,0.034995647,4.00E-05,0.108460993,0.241391752,1.86E-04,0.010591421,6.00E-05,2.56E-05,2.70E-04,0.141938404,4.13E-05,1.69E-05
DesJarlaisTN04,0.070972732,0.158007629,4.67E-04,0.097223669,2.83E-05,0.08467469,0.187803917,0.335786087,0.010863268,4.16E-04,3.91E-04,9.38E-04,0.038571058,0.001896096,0.011959642
DonaldNorcross,7.98E-04,0.216707645,0.129616482,9.17E-04,0.119997656,0.328495823,0.120734559,1.35E-04,0.002710998,0.016090279,1.85E-05,0.009365545,0.054370566,3.00E-05,1.23E-05
DorisMatsui,0.001482696,0.176989773,0.105589099,5.07E-04,0.093924214,0.438591398,0.02827943,8.53E-04,0.002209883,4.13E-05,1.76E-05,0.049490791,0.101983728,2.84E-05,1.16E-05
DrNealDunnFL2,3.36E-05,0.380122248,0.004582885,0.003141743,0.034068055,0.133461191,0.047133586,0.132175957,3.58E-05,0.261512327,1.81E-05,0.002436235,0.001236943,2.93E-05,1.20E-05
