twitter,25_c0,25_c1,25_c2,25_c3,25_c4,25_c5,25_c6,25_c7,25_c8,25_c9,25_c10,25_c11,25_c12,25_c13,25_c14,25_c15,25_c16,25_c17,25_c18,25_c19,25_c20,25_c21,25_c22,25_c23,25_c24
AustinScottGA08,0.178815402,0.003208032,0.004584497,0.113483688,0.016562748,1.14E-05,0.001746306,0.001438153,1.25E-05,0.20420351,7.87E-04,0.168015768,4.63E-05,1.22E-05,1.44E-05,3.64E-05,2.46E-05,0.059014527,0.062535207,0.091542668,4.67E-04,1.45E-05,1.33E-05,1.41E-05,0.093395851
BennieGThompson,0.050854372,0.122356304,1.04E-04,0.074717238,0.060553817,1.53E-05,1.74E-05,6.88E-05,0.035669634,3.15E-05,0.097823567,0.057265497,0.013489531,1.62E-05,1.93E-05,0.004215833,0.005589141,1.11E-04,0.051116098,0.095417461,0.03859159,0.135222596,1.78E-05,1.89E-05,0.156696912
BettyMcCollum04,0.028574385,0.109460439,0.009132215,0.05309804,0.174505295,0.017862881,1.07E-05,0.076557321,1.02E-05,1.93E-05,0.028415653,0.132251389,3.78E-05,9.93E-06,1.18E-05,3.13E-04,0.003420776,3.51E-04,1.12E-04,0.198677123,0.015401284,1.18E-05,1.09E-05,0.001995284,0.149748745
BillPascrell,0.028406441,0.060142878,0.009103637,0.05011528,0.092608647,1.14E-05,1.30E-05,0.00248156,1.25E-05,2.36E-05,0.019880726,0.067926607,0.034065718,1.22E-05,0.006262893,3.64E-05,0.05626074,0.035144051,4.85E-04,0.156931447,0.191392574,1.45E-05,1.33E-05,1.42E-05,0.188640946
BobbyScott,0.07885455,0.111831333,8.30E-05,0.154650568,0.120506481,1.21E-05,1.39E-05,5.48E-05,1.33E-05,0.001868966,0.066478556,0.091336033,0.002630622,7.50E-04,0.146786143,3.87E-05,3.95E-04,8.84E-05,5.15E-04,0.122090497,0.016353763,1.54E-05,1.42E-05,0.003333977,0.081284487
boblatta,0.110163391,8.27E-05,0.004950058,0.151304088,0.020086004,1.07E-05,1.22E-05,0.012728327,1.17E-05,2.21E-05,7.38E-04,0.227484617,4.34E-05,0.005538575,1.35E-05,3.41E-05,0.053669195,0.123626654,0.011508232,0.139178923,1.13E-04,0.010092534,1.25E-05,0.040979398,0.087596019
BradSherman,0.045399954,0.07212416,0.154290053,0.088948723,0.066013225,1.15E-05,0.037079828,5.20E-05,1.26E-05,0.084298065,4.44E-04,0.119479531,0.022076877,7.12E-04,0.004560456,3.67E-05,2.48E-05,0.001482615,0.006083131,0.070312748,0.040335083,1.46E-05,1.34E-05,1.43E-05,0.186179669
brianschatz,9.12E-04,1.27E-04,0.057918132,0.065464155,0.044240922,1.64E-05,1.87E-05,0.022498834,1.80E-05,3.39E-05,0.001629844,0.052163427,0.019999635,1.75E-05,2.07E-05,0.030450316,3.53E-05,0.005601131,0.023120418,0.115649011,0.413784901,2.08E-05,1.92E-05,0.001016979,0.145222727
Call_Me_Dutch,0.040532701,0.101218862,0.024923776,0.088661044,0.128347041,1.15E-05,1.32E-05,5.20E-05,1.26E-05,2.38E-05,0.052584264,0.136709741,0.019992745,1.23E-05,0.100094654,3.67E-05,0.001074611,8.39E-05,0.019034814,0.165543033,0.05471046,1.46E-05,1.35E-05,1.43E-05,0.066283833
cathymcmorris,0.055982692,5.29E-04,0.007681065,0.04145791,0.00665009,1.39E-05,1.58E-05,0.016921006,1.52E-05,2.87E-05,0.014865117,0.127987323,0.001320636,1.48E-05,1.75E-05,4.42E-05,2.99E-05,0.150561894,0.159899798,0.24574175,0.004360699,1.76E-05,1.62E-05,0.006339071,0.159488469
chelliepingree,0.020789688,0.080379247,9.88E-04,0.091447769,0.124675079,1.01E-05,1.15E-05,0.027016998,1.11E-05,2.09E-05,0.058010235,0.155293231,4.09E-05,1.07E-05,0.112495895,0.003710099,2.17E-05,0.007429359,0.002879812,0.203227975,0.038417954,1.28E-05,1.18E-05,1.25E-05,0.073074213
ChrisCoons,0.038908586,0.008974491,0.122472501,0.050117216,0.032143568,1.01E-05,1.15E-05,4.56E-05,1.11E-05,2.09E-05,0.021557318,0.167400402,0.020288145,1.08E-05,1.28E-05,0.096666542,2.18E-05,7.36E-05,0.00165536,0.256487202,0.032624573,0.002467003,1.18E-05,1.25E-05,0.147994729
ChrisMurphyCT,0.001115032,0.002463552,0.155679382,0.069077434,0.029061497,1.30E-05,1.48E-05,0.005179265,1.42E-05,2.68E-05,0.159636382,0.047140822,0.002809885,1.38E-05,1.64E-05,0.0268266,2.79E-05,4.88E-04,0.003701089,0.170982104,0.158484637,0.001985936,1.51E-05,1.61E-05,0.165209843
ChrisVanHollen,0.005493758,0.009297715,0.032498508,0.054689727,0.202225,8.69E-06,9.91E-06,3.92E-05,9.52E-06,1.80E-05,7.14E-05,0.061100892,0.003463736,9.25E-06,0.072010127,0.045126062,1.87E-05,6.33E-05,0.002478036,0.236588219,0.122991095,1.10E-05,1.01E-05,1.08E-05,0.151757358
ChuckGrassley,0.007687441,9.38E-05,0.025546986,0.13262213,0.030179876,1.22E-05,1.39E-05,4.24E-04,1.33E-05,2.51E-05,9.99E-05,0.095462921,0.019977587,0.291556952,1.53E-05,0.060930847,3.95E-04,0.058028275,0.048859823,0.092657165,0.050686838,1.54E-05,1.42E-05,0.002229309,0.082451612
ConawayTX11,0.079692845,0.007494888,0.011170206,0.081323718,0.002203494,1.52E-05,4.78E-04,0.001912959,1.66E-05,0.018475536,1.25E-04,0.125732257,5.23E-04,9.38E-04,1.92E-05,4.84E-05,3.27E-05,0.358387946,0.067042589,0.133754172,1.60E-04,0.006935787,1.77E-05,1.88E-05,0.103480842
congbillposey,0.160329148,1.62E-04,0.002053177,0.133931478,0.020868729,2.10E-05,2.39E-05,0.031927362,2.30E-05,0.015323059,1.72E-04,0.228989889,0.029371087,2.23E-05,2.65E-05,6.68E-05,4.52E-05,0.017979024,0.002162075,0.019146829,2.21E-04,2.66E-05,2.45E-05,0.279517241,0.05756631
CongMikeSimpson,0.184691014,1.09E-04,0.004811975,0.100898758,0.007192807,0.003443609,0.012448001,0.018497215,0.158200528,2.92E-05,0.001402071,0.220205991,5.72E-05,1.50E-05,1.78E-05,9.02E-04,3.04E-05,0.073408089,0.012601645,0.132067,1.49E-04,1.79E-05,1.65E-05,1.75E-05,0.068769787
CongPalazzo,0.089900882,0.003719739,8.16E-05,0.150675079,0.028577077,7.37E-04,1.36E-05,4.17E-04,0.089612624,0.008730729,9.82E-05,0.122855435,7.74E-04,1.27E-05,1.51E-05,3.81E-05,2.57E-05,0.006616526,0.282364027,0.085273407,0.01354755,0.004005395,1.39E-05,3.78E-04,0.111516964
CongressmanGT,0.112040843,9.34E-05,8.27E-05,0.156344297,0.014253165,1.21E-05,3.81E-04,0.01549178,0.006261635,3.93E-04,0.006347836,0.227395316,4.91E-05,1.29E-05,1.53E-05,3.86E-05,0.1407981,0.074701009,0.064834523,0.07133214,1.27E-04,1.53E-05,3.82E-04,0.014717029,0.093879886
CongressmanHice,0.151594054,7.47E-05,0.001241642,0.172029787,2.29E-04,9.68E-06,1.10E-05,3.38E-04,1.06E-05,0.040575911,7.95E-05,0.122160515,0.050587161,1.03E-05,1.22E-05,3.09E-05,2.08E-05,0.006535921,0.202601988,0.133444816,0.015971582,1.23E-05,1.13E-05,1.20E-05,0.102394838
CongressmanJVD,0.034656279,1.73E-04,0.001516964,0.110701866,0.085073847,2.25E-05,2.56E-05,0.301455898,2.46E-05,4.64E-05,0.011093274,0.145002615,9.10E-05,2.39E-05,2.84E-05,0.001435171,0.040956216,1.64E-04,0.05685919,0.14663703,2.36E-04,2.84E-05,0.004117005,2.78E-05,0.059602769
CongressmanRaja,0.037288525,0.0462489,0.011175359,0.05921806,0.059869026,1.52E-05,1.73E-05,6.86E-05,1.67E-05,3.14E-05,0.079471218,0.076429434,0.140762998,0.043379887,1.92E-05,4.84E-05,3.27E-05,1.11E-04,0.016328743,0.21777541,0.031068109,1.92E-05,1.77E-05,1.88E-05,0.180568372
CongressmanRuiz,0.125410263,0.032792235,3.68E-04,0.052936056,0.18332285,9.89E-06,1.13E-05,0.100593558,9.11E-04,2.04E-05,0.02439306,0.149976073,4.01E-05,1.05E-05,1.25E-05,3.15E-05,2.13E-05,0.002473159,1.19E-04,0.201420276,4.04E-04,1.25E-05,1.15E-05,1.22E-05,0.124686698
daveloebsack,0.181661957,0.005317202,0.00249726,0.148580259,0.049656276,8.16E-04,1.51E-05,0.009286538,1.45E-05,2.73E-05,0.001713246,0.147901995,5.36E-05,0.167301813,1.67E-05,8.44E-04,2.85E-05,0.033794472,1.59E-04,0.145654328,0.01979639,1.67E-05,1.54E-05,1.64E-05,0.084815303
davidcicilline,0.014116162,1.34E-04,0.017480274,0.102786612,9.36E-04,1.73E-05,1.98E-05,7.82E-05,1.90E-05,3.58E-05,0.072220675,0.055072509,0.314163233,1.84E-05,0.002126355,0.009525373,3.73E-05,6.52E-04,0.037562785,0.136303806,0.111193489,5.48E-04,2.02E-05,2.15E-05,0.124911174
DesJarlaisTN04,0.026039624,0.00680694,0.05527253,0.050850982,0.012595966,1.23E-05,1.40E-05,5.54E-05,0.021641445,2.54E-05,0.006440152,0.075204571,0.034356234,1.31E-05,1.55E-05,0.002649421,2.64E-05,0.04595568,0.351043056,0.08243772,0.051961857,0.009337963,0.006726473,1.52E-05,0.160502025
DonaldNorcross,0.091132044,0.066491212,8.58E-05,0.072258116,0.069743954,1.26E-05,1.43E-05,0.005398785,1.38E-05,2.60E-05,0.052760732,0.086876014,0.003866694,1.34E-05,0.146540995,4.22E-04,0.03169786,0.006959886,0.00129583,0.227829071,0.053552903,1.59E-05,1.47E-05,1.56E-05,0.082962234
DorisMatsui,0.044114227,0.160861966,8.15E-05,0.050826332,0.183139639,1.19E-05,1.36E-05,0.038797926,1.31E-05,2.47E-05,0.065999169,0.134582123,4.83E-05,1.27E-05,1.51E-05,4.00E-04,0.00147406,0.004431981,5.05E-04,0.258924324,1.26E-04,1.51E-05,1.39E-05,1.48E-05,0.055552531
DrNealDunnFL2,0.106410723,9.50E-05,8.40E-05,0.145464956,0.01859698,1.23E-05,1.40E-05,0.003791465,1.35E-05,0.261540419,1.01E-04,0.165754515,4.99E-05,1.31E-05,1.55E-05,3.92E-05,2.65E-05,0.016527691,0.092425369,0.09305231,8.77E-04,3.89E-04,0.009354187,1.52E-05,0.085336086
DrPhilRoe,0.214193934,4.60E-04,0.004118172,0.186508273,0.007990114,1.21E-05,1.38E-05,4.21E-04,0.119981945,2.50E-05,0.001566793,0.214504376,4.90E-05,1.29E-05,1.53E-05,3.85E-05,2.60E-05,0.022467478,0.040134849,0.113025241,0.007097847,1.53E-05,1.41E-05,1.50E-05,0.067292548
EleanorNorton,0.008938868,0.056841065,7.78E-05,0.152737643,0.162569459,1.14E-05,1.30E-05,5.14E-05,1.25E-05,2.36E-05,0.018780642,0.120315467,0.030153012,1.21E-05,0.190690904,3.63E-05,2.45E-05,8.30E-05,0.004635756,0.133949085,0.018460905,1.44E-05,1.33E-05,1.41E-05,0.10153958
FrankPallone,0.007986948,0.165315696,0.003426923,0.046374343,0.081703204,1.10E-05,1.26E-05,0.064064067,6.82E-04,2.28E-05,0.064104946,0.111497705,0.008088413,1.17E-05,1.39E-05,0.005062481,0.013094743,8.04E-05,0.001138178,0.213182225,0.033631501,1.40E-05,0.002023807,1.37E-05,0.178442231
GerryConnolly,0.044060103,0.047157308,0.026923798,0.100881176,0.127873422,1.21E-05,1.38E-05,5.47E-05,1.33E-05,2.50E-05,0.016645382,0.078566041,0.140137499,1.29E-05,0.059948131,0.004083148,2.61E-05,8.82E-05,8.81E-04,0.135703442,0.106388762,1.53E-05,1.41E-05,1.50E-05,0.110460281
gillibrandny,0.071426822,0.041139337,0.002501725,0.028398979,0.12372704,1.00E-05,1.14E-05,4.52E-05,1.10E-05,2.07E-05,0.023807028,0.079288272,0.001257254,1.07E-05,1.26E-05,0.059343715,0.068458248,3.77E-04,1.20E-04,0.296885632,0.031130072,1.27E-05,1.17E-05,1.24E-05,0.171979851
GKButterfield,0.045649922,0.078884077,8.36E-05,0.105684945,0.157496942,1.22E-05,1.40E-05,5.52E-05,1.34E-05,0.009688181,0.060679364,0.102826698,4.96E-05,1.30E-05,1.55E-05,0.002640559,2.64E-05,8.91E-05,0.006465204,0.178419068,0.039523636,0.116713287,1.43E-05,3.87E-04,0.094554948
GOPLeader,0.040818701,5.13E-04,0.034437818,0.052895718,0.003998322,1.35E-05,0.018823806,6.08E-05,1.48E-05,2.78E-05,9.28E-04,0.068150703,0.00455225,1.43E-05,1.70E-05,4.29E-05,2.90E-05,0.033626153,0.422533992,0.129236097,0.008319331,1.71E-05,1.57E-05,1.67E-05,0.18089629
gracenapolitano,0.063391313,0.221645515,7.72E-05,0.029621467,0.147743982,1.13E-05,1.29E-05,0.041893267,1.24E-05,2.34E-05,0.06319921,0.113755077,0.002446568,1.20E-05,1.43E-05,3.60E-05,2.43E-05,8.23E-05,1.36E-04,0.203406356,0.009036108,1.43E-05,3.56E-04,1.40E-05,0.103034917
GReschenthaler,0.125275924,9.46E-05,8.37E-05,0.136261445,0.036366401,1.23E-05,1.40E-05,5.53E-05,1.34E-05,0.043912529,0.003819907,0.20295113,4.96E-05,1.30E-05,1.55E-05,0.002270598,0.148796558,0.019057404,0.096847896,0.052469059,0.004220118,0.004478621,1.43E-05,0.007081751,0.115825034
HerreraBeutler,0.068045928,3.83E-04,0.002817027,0.10149526,0.046654115,1.01E-05,1.15E-05,0.198230828,1.10E-05,2.08E-05,8.26E-05,0.235952711,3.46E-04,1.07E-05,1.27E-05,3.21E-05,2.17E-05,0.059925855,1.21E-04,0.22385919,7.17E-04,1.27E-05,1.17E-05,1.25E-05,0.061202359
HurdOnTheHill,0.143139658,0.012069237,0.175664311,0.095042148,0.054355184,1.07E-05,0.006815536,4.82E-05,1.17E-05,2.21E-05,8.77E-05,0.16220402,0.001015154,1.14E-05,1.35E-05,3.58E-04,2.30E-05,0.012388543,0.041272409,0.212547968,0.00173216,3.37E-04,0.006167878,1.32E-05,0.074649048
Ilhan,0.004881548,0.116849043,0.026242692,0.06101184,0.030999415,0.020296895,1.69E-05,6.70E-05,1.63E-05,0.003636389,0.056010283,0.044474888,0.003665861,1.58E-05,0.029315034,4.73E-05,3.20E-05,1.08E-04,0.019108391,0.179416854,0.225963047,1.88E-05,4.68E-04,1.84E-05,0.177319194
