cluster,weight,cluster keys
10_c0,0.06843,iowa illinois york idaho jersey twill housesmallbiz iowans repmceachin vcf tax repjohnkatko waysmeanscmte chicago vermont queens salt mikecrapo sterigenics gov 
10_c1,0.19255,house tax great jobs american economy bush family ohio happy day news service chairman potus georgia americans years indiana small 
10_c2,0.55244,government workers people shutdown federal health trump pay americans families make care time end president it’s working climate work trumpshutdown 
10_c3,0.4251,trump president congress it’s war emergency senate vote trump’s justice cohen people investigation deal wall time national don’t house republicans 
10_c4,0.04597,venezuela florida los nevada maduro para del las con por people sayfie u.s jguaido repdarrensoto nevadans puerto venezuelan aid regime 
10_c5,0.11918,senate sen farmers rural alabama state good farm trade senator kansas farmbill arkansas tennessee chairman news mississippi alaska ranchers klobuchar 
10_c6,1.25258,today great office work day house congress veterans meeting morning week county district community time students forward visit discuss proud 
10_c7,1.92838,today act bill support legislation work continue bipartisan national country year important protect people years congress american proud women communities 
10_c8,0.28635,gun house violence today forthepeople background proud housedemocrats hearing checks women congress colleagues american act day rights vote housejudiciary join 
10_c9,0.32694,border democrats realdonaldtrump sotu potus security house people president american wall americans texas secure crisis southern illegal tune america time 
15_c0,0.08979,president congress utpol cohen house tune discuss wall rep committee realdonaldtrump utah joining emergency michael foxnews national watch interview border 
15_c1,2.19968,today great work house day support office service week veterans honor forward happy state bill congress discuss morning meeting members 
15_c2,0.25165,gun house forthepeople violence background proud checks hearing housedemocrats today day act women housejudiciary voting vote rights bill blackhistorymonth committee 
15_c3,0.39898,senate years military u.s north american texas world security president foreign states national united defense trade great china nuclear america 
15_c4,0.07582,house valley florida bipartisan oregon veterans county jersey water town california bill transportdems hall gt;&gt fire coast sayfie drilling community 
15_c5,1.78843,government work families people federal shutdown congress make today i’m care time women working workers act health country americans security 
15_c6,1.00456,people it’s vote congress trump make law bill don’t political it's support good act deal long money tax made year 
15_c7,0.35255,border democrats potus sotu realdonaldtrump american security president house americans secure people tax southern jobs wall life crisis protect illegal 
15_c8,0.09563,senate sen iowa senator maine bill state tennessee barr general nomination health farmers klobuchar minnesota justice prices drug rural attorney 
15_c9,0.11389,georgia hurricane disaster carolina arizona north assistance fema florence families years apply hbcu south click deadline county visit michael recovery 
15_c10,0.04848,virginia alabama american nebraska west talofa repmobrooks rural repmceachin virginians news weekly meetthepress mobile hawaii samoa waysmeanscmte e-newsletter congressman island 
15_c11,0.51291,act legislation bipartisan bill water national public senate protect funding communities health u.s access state law passed lands energy support 
15_c12,0.30678,trump president trumpshutdown climate wall border realdonaldtrump house change administration time trump’s today republicans americans children american democrats public national 
15_c13,0.07841,ohio farmers farmbill trade farm indiana kansas arkansas hoosiers idaho michigan producers south chairman wyoming jobs ranchers dakota agriculture oklahoma 
15_c14,0.0321,venezuela nevada los maduro para del las con florida por tps jguaido repdarrensoto nevadans continue people puerto repespaillat una venezuelan 
25_c0,0.83074,great honor veterans service day nation happy family life american military congratulations years lives country men grateful safe honored birthday 
