Cluster,quantity,sales value,Price,COUPON_DISCOUNT,num_national,dh_coupon_redeemed,value of dh coupon
1,675,245.23,0.363303704,,174,1,-3.71
1,963,359.05,0.372845275,,280,0,0
1,645,246.97,0.382899225,,175,0,0
1,606,237.15,0.391336634,-0.69,402,0,0
1,667,281.53,0.422083958,,129,0,0
1,724,310.77,0.429240331,-0.5,6,0,0
1,656,385.69,0.587942073,,164,0,0
1,507,302.5,0.596646943,,168,0,0
1,488,301.74,0.618319672,,227,0,0
1,1104,701.26,0.635199275,,172,0,0
1,503,326.15,0.648409543,,179,0,0
1,665,433.82,0.652360902,,167,0,0
1,709,464,0.654442877,-0.55,211,0,0
1,465,307.83,0.662,,97,0,0
1,1549,1082.41,0.698779858,,313,0,0
1,473,332.71,0.703403805,-0.25,34,0,0
1,571,401.96,0.703957968,-3.97,249,0,0
1,554,405.47,0.731895307,-0.4,320,0,0
1,442,360.72,0.816108597,,131,0,0
1,648,524.53,0.809459877,-5.35,484,0,0
1,673,520.16,0.772897474,-38.05,137,1,-0.68
1,392,325.53,0.830433673,-0.99,241,0,0
1,393,331.83,0.844351145,-0.55,256,0,0
1,435,369.94,0.850436782,,236,0,0
1,411,351.75,0.855839416,,253,0,0
1,474,397.38,0.83835443,-11.05,248,2,-1.89
1,571,501.74,0.878704028,,79,0,0
1,418,371.94,0.889808612,,89,0,0
1,476,410.96,0.863361345,-10.55,159,1,-3.39
1,407,363.23,0.892457002,-6.2,87,0,0
1,391,354.7,0.907161125,-1,31,0,0
1,488,444.76,0.911393443,-1,153,0,0
1,556,509.92,0.917122302,-1,75,0,0
1,469,431.86,0.920810235,,68,0,0
1,362,351.77,0.971740331,-1,176,0,0
1,354,326.56,0.922485876,-5.89,237,6,-2.24
1,538,519.37,0.965371747,-10.32,413,0,0
1,381,377.4,0.990551181,,70,0,0
1,361,345.08,0.955900277,-15.05,245,0,0
1,358,357.89,0.999692737,-0.75,123,0,0
1,456,463.7,1.016885965,-1.75,171,0,0
1,334,329.82,0.98748503,-16.25,219,0,0
1,433,450.96,1.04147806,,208,0,0
1,468,491.57,1.050363248,,96,0,0
1,550,578.79,1.052345455,,80,0,0
1,358,377.43,1.054273743,,131,0,0
1,340,360.68,1.060823529,,81,0,0
1,410,439.13,1.07104878,,96,0,0
1,539,391.81,0.726920223,-10.03,172,7,-25.21
1,376,404.27,1.07518617,-1.5,114,0,0
1,342,361.2,1.056140351,-8.96,120,0,0
1,365,395.32,1.083068493,,164,0,0
1,660,716.78,1.086030303,,163,0,0
1,320,351.34,1.0979375,,123,0,0
1,421,462.48,1.098527316,,113,0,0
1,318,351.13,1.10418239,-3,289,0,0
1,468,520.56,1.112307692,-1,303,0,0
1,818,914.52,1.11799511,,212,0,0
1,332,367.31,1.106355422,-4,66,0,0
1,329,368.24,1.119270517,,96,0,0
1,320,362.41,1.13253125,,128,0,0
1,373,422.54,1.132815013,,118,0,0
1,381,430.37,1.129580052,-1.55,106,0,0
1,308,347.52,1.128311688,-2,194,0,0
1,349,395.93,1.134469914,-1,94,0,0
1,387,442.3,1.142894057,,101,0,0
1,479,550.65,1.149582463,-2.5,87,0,0
1,447,513.17,1.14803132,-4.25,100,0,0
1,302,350.09,1.159238411,-0.75,207,0,0
1,416,480.63,1.155360577,-3.05,234,0,0
1,364,427.8,1.175274725,,66,0,0
1,543,642.77,1.18373849,,131,0,0
1,330,391.68,1.186909091,,121,0,0
1,512,567.56,1.108515625,-43.69,103,0,0
1,317,379.08,1.195835962,-1,93,0,0
1,297,357.73,1.204478114,,203,0,0
1,322,380.41,1.181397516,-7.98,123,0,0
1,679,805.15,1.185787923,-15.5,253,0,0
1,579,700.16,1.20925734,,1,0,0
1,398,482.12,1.211356784,-0.25,29,0,0
1,355,430.77,1.21343662,,194,0,0
1,313,374.95,1.197923323,-5.55,141,0,0
1,401,490.54,1.223291771,,352,0,0
