CustomerID,PersonalLoan,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
1,0,25,1,49,91107,4,1.6,1,0,1,0,0,0
2,0,45,19,34,90089,3,1.5,1,0,1,0,0,0
3,0,39,15,11,94720,1,1,1,0,0,0,0,0
4,0,35,9,100,94112,1,2.7,2,0,0,0,0,0
5,0,35,8,45,91330,4,1,2,0,0,0,0,1
6,0,37,13,29,92121,4,0.4,2,155,0,0,1,0
7,0,53,27,72,91711,2,1.5,2,0,0,0,1,0
8,0,50,24,22,93943,1,0.3,3,0,0,0,0,1
9,0,35,10,81,90089,3,0.6,2,104,0,0,1,0
10,1,34,9,180,93023,1,8.9,3,0,0,0,0,0
11,0,65,39,105,94710,4,2.4,3,0,0,0,0,0
12,0,29,5,45,90277,3,0.1,2,0,0,0,1,0
13,0,48,23,114,93106,2,3.8,3,0,1,0,0,0
14,0,59,32,40,94920,4,2.5,2,0,0,0,1,0
15,0,67,41,112,91741,1,2,1,0,1,0,0,0
16,0,60,30,22,95054,1,1.5,3,0,0,0,1,1
17,1,38,14,130,95010,4,4.7,3,134,0,0,0,0
18,0,42,18,81,94305,4,2.4,1,0,0,0,0,0
19,1,46,21,193,91604,2,8.1,3,0,0,0,0,0
20,0,55,28,21,94720,1,0.5,2,0,1,0,0,1
21,0,56,31,25,94015,4,0.9,2,111,0,0,1,0
22,0,57,27,63,90095,3,2,3,0,0,0,1,0
23,0,29,5,62,90277,1,1.2,1,260,0,0,1,0
24,0,44,18,43,91320,2,0.7,1,163,1,0,0,0
25,0,36,11,152,95521,2,3.9,1,159,0,0,0,1
26,0,43,19,29,94305,3,0.5,1,97,0,0,1,0
27,0,40,16,83,95064,4,0.2,3,0,0,0,0,0
28,0,46,20,158,90064,1,2.4,1,0,0,0,1,1
29,0,56,30,48,94539,1,2.2,3,0,0,0,1,1
30,1,38,13,119,94104,1,3.3,2,0,0,1,1,1
31,0,59,35,35,93106,1,1.2,3,122,0,0,1,0
32,0,40,16,29,94117,1,2,2,0,0,0,1,0
33,0,53,28,41,94801,2,0.6,3,193,0,0,0,0
34,0,30,6,18,91330,3,0.9,3,0,0,0,0,0
35,0,31,5,50,94035,4,1.8,3,0,0,0,1,0
36,0,48,24,81,92647,3,0.7,1,0,0,0,0,0
37,0,59,35,121,94720,1,2.9,1,0,0,0,0,1
38,0,51,25,71,95814,1,1.4,3,198,0,0,0,0
39,1,42,18,141,94114,3,5,3,0,1,1,1,0
40,0,38,13,80,94115,4,0.7,3,285,0,0,1,0
41,0,57,32,84,92672,3,1.6,3,0,1,0,0,0
42,0,34,9,60,94122,3,2.3,1,0,0,0,0,0
43,1,32,7,132,90019,4,1.1,2,412,0,0,1,0
44,0,39,15,45,95616,1,0.7,1,0,0,0,1,0
45,0,46,20,104,94065,1,5.7,1,0,0,0,1,1
